placeID,latitude,longitude,the_geom_meter,name,address,city,state,country,zip,alcohol,smoking_area,dress_code,accessibility,price,Rambience,franchise,area,other_services,Rcuisine,hours,days,parking_lot,Rpayment,userID,rating,food_rating,service_rating
132825,22.1473922,-100.983092,0101000020957F00001AD016568C4858C1243261274BA54B41,puesto de tacos,esquina santos degollado y leon guzman,s.l.p.,s.l.p.,mexico,78280,No_Alcohol_Served,none,informal,completely,low,familiar,f,open,none,Mexican,09:00-12:00,Mon;Tue;Wed;Thu;Fri,none,cash,U1077,2,2,2
132825,22.1473922,-100.983092,0101000020957F00001AD016568C4858C1243261274BA54B41,puesto de tacos,esquina santos degollado y leon guzman,s.l.p.,s.l.p.,mexico,78280,No_Alcohol_Served,none,informal,completely,low,familiar,f,open,none,Mexican,09:00-12:00,Mon;Tue;Wed;Thu;Fri,none,cash,U1055,2,2,2
132825,22.1473922,-100.983092,0101000020957F00001AD016568C4858C1243261274BA54B41,puesto de tacos,esquina santos degollado y leon guzman,s.l.p.,s.l.p.,mexico,78280,No_Alcohol_Served,none,informal,completely,low,familiar,f,open,none,Mexican,09:00-12:00,Mon;Tue;Wed;Thu;Fri,none,cash,U1053,1,2,0
132825,22.1473922,-100.983092,0101000020957F00001AD016568C4858C1243261274BA54B41,puesto de tacos,esquina santos degollado y leon guzman,s.l.p.,s.l.p.,mexico,78280,No_Alcohol_Served,none,informal,completely,low,familiar,f,open,none,Mexican,09:00-12:00,Mon;Tue;Wed;Thu;Fri,none,cash,U1081,1,0,1
132825,22.1473922,-100.983092,0101000020957F00001AD016568C4858C1243261274BA54B41,puesto de tacos,esquina santos degollado y leon guzman,s.l.p.,s.l.p.,mexico,78280,No_Alcohol_Served,none,informal,completely,low,familiar,f,open,none,Mexican,09:00-12:00,Mon;Tue;Wed;Thu;Fri,none,cash,U1001,2,2,1
132825,22.1473922,-100.983092,0101000020957F00001AD016568C4858C1243261274BA54B41,puesto de tacos,esquina santos degollado y leon guzman,s.l.p.,s.l.p.,mexico,78280,No_Alcohol_Served,none,informal,completely,low,familiar,f,open,none,Mexican,09:00-12:00,Mon;Tue;Wed;Thu;Fri,none,cash,U1056,2,2,2
132825,22.1473922,-100.983092,0101000020957F00001AD016568C4858C1243261274BA54B41,puesto de tacos,esquina santos degollado y leon guzman,s.l.p.,s.l.p.,mexico,78280,No_Alcohol_Served,none,informal,completely,low,familiar,f,open,none,Mexican,09:00-12:00,Mon;Tue;Wed;Thu;Fri,none,cash,U1134,1,2,1
132825,22.1473922,-100.983092,0101000020957F00001AD016568C4858C1243261274BA54B41,puesto de tacos,esquina santos degollado y leon guzman,s.l.p.,s.l.p.,mexico,78280,No_Alcohol_Served,none,informal,completely,low,familiar,f,open,none,Mexican,09:00-12:00,Mon;Tue;Wed;Thu;Fri,none,cash,U1116,2,2,2
132825,22.1473922,-100.983092,0101000020957F00001AD016568C4858C1243261274BA54B41,puesto de tacos,esquina santos degollado y leon guzman,s.l.p.,s.l.p.,mexico,78280,No_Alcohol_Served,none,informal,completely,low,familiar,f,open,none,Mexican,09:00-12:00,Mon;Tue;Wed;Thu;Fri,none,cash,U1024,1,1,0
132825,22.1473922,-100.983092,0101000020957F00001AD016568C4858C1243261274BA54B41,puesto de tacos,esquina santos degollado y leon guzman,s.l.p.,s.l.p.,mexico,78280,No_Alcohol_Served,none,informal,completely,low,familiar,f,open,none,Mexican,09:00-12:00,Mon;Tue;Wed;Thu;Fri,none,cash,U1132,2,2,2
132825,22.1473922,-100.983092,0101000020957F00001AD016568C4858C1243261274BA54B41,puesto de tacos,esquina santos degollado y leon guzman,s.l.p.,s.l.p.,mexico,78280,No_Alcohol_Served,none,informal,completely,low,familiar,f,open,none,Mexican,09:00-12:00,Mon;Tue;Wed;Thu;Fri,none,cash,U1036,2,2,2
132825,22.1473922,-100.983092,0101000020957F00001AD016568C4858C1243261274BA54B41,puesto de tacos,esquina santos degollado y leon guzman,s.l.p.,s.l.p.,mexico,78280,No_Alcohol_Served,none,informal,completely,low,familiar,f,open,none,Mexican,09:00-12:00,Mon;Tue;Wed;Thu;Fri,none,cash,U1071,2,2,2
