userID,Upayment,Rcuisine,latitude,longitude,smoker,drink_level,dress_preference,ambience,transport,marital_status,hijos,birth_year,interest,personality,religion,activity,color,weight,budget,height,placeID,rating,food_rating,service_rating
U1001,cash,American,22.139997,-100.978803,FALSE,abstemious,informal,family,on foot,single,independent,1989,variety,thrifty-protector,none,student,black,69,medium,1.77,132830,1,1,1
U1001,cash,American,22.139997,-100.978803,FALSE,abstemious,informal,family,on foot,single,independent,1989,variety,thrifty-protector,none,student,black,69,medium,1.77,132825,2,2,1
U1001,cash,American,22.139997,-100.978803,FALSE,abstemious,informal,family,on foot,single,independent,1989,variety,thrifty-protector,none,student,black,69,medium,1.77,135085,0,1,1
U1001,cash,American,22.139997,-100.978803,FALSE,abstemious,informal,family,on foot,single,independent,1989,variety,thrifty-protector,none,student,black,69,medium,1.77,135040,1,1,1
U1001,cash,American,22.139997,-100.978803,FALSE,abstemious,informal,family,on foot,single,independent,1989,variety,thrifty-protector,none,student,black,69,medium,1.77,135039,1,1,1
U1001,cash,American,22.139997,-100.978803,FALSE,abstemious,informal,family,on foot,single,independent,1989,variety,thrifty-protector,none,student,black,69,medium,1.77,135045,1,1,1
U1001,cash,American,22.139997,-100.978803,FALSE,abstemious,informal,family,on foot,single,independent,1989,variety,thrifty-protector,none,student,black,69,medium,1.77,135033,1,1,1
U1001,cash,American,22.139997,-100.978803,FALSE,abstemious,informal,family,on foot,single,independent,1989,variety,thrifty-protector,none,student,black,69,medium,1.77,135025,2,2,2
U1001,cash,American,22.139997,-100.978803,FALSE,abstemious,informal,family,on foot,single,independent,1989,variety,thrifty-protector,none,student,black,69,medium,1.77,135051,1,1,2
U1002,cash,Mexican,22.150087,-100.983325,FALSE,abstemious,informal,family,public,single,independent,1990,technology,hunter-ostentatious,Catholic,student,red,40,low,1.87,132921,2,1,1
U1002,cash,Mexican,22.150087,-100.983325,FALSE,abstemious,informal,family,public,single,independent,1990,technology,hunter-ostentatious,Catholic,student,red,40,low,1.87,135062,1,2,1
U1002,cash,Mexican,22.150087,-100.983325,FALSE,abstemious,informal,family,public,single,independent,1990,technology,hunter-ostentatious,Catholic,student,red,40,low,1.87,135106,1,1,1
U1002,cash,Mexican,22.150087,-100.983325,FALSE,abstemious,informal,family,public,single,independent,1990,technology,hunter-ostentatious,Catholic,student,red,40,low,1.87,132825,2,2,0
U1002,cash,Mexican,22.150087,-100.983325,FALSE,abstemious,informal,family,public,single,independent,1990,technology,hunter-ostentatious,Catholic,student,red,40,low,1.87,135052,1,1,1
U1002,cash,Mexican,22.150087,-100.983325,FALSE,abstemious,informal,family,public,single,independent,1990,technology,hunter-ostentatious,Catholic,student,red,40,low,1.87,132862,2,2,2
U1002,cash,Mexican,22.150087,-100.983325,FALSE,abstemious,informal,family,public,single,independent,1990,technology,hunter-ostentatious,Catholic,student,red,40,low,1.87,135059,1,2,1
U1002,cash,Mexican,22.150087,-100.983325,FALSE,abstemious,informal,family,public,single,independent,1990,technology,hunter-ostentatious,Catholic,student,red,40,low,1.87,135041,2,1,0
