placeID,hours,days
135111,00:00-23:30,mon;tue;wed;thu;fri
135111,00:00-23:30,sat
135111,00:00-23:30,sun
135110,08:00-19:00,mon;tue;wed;thu;fri
135110,00:00-00:00,sat
135110,00:00-00:00,sun
135109,08:00-21:00,mon;tue;wed;thu;fri
135109,08:00-21:00,sat
135109,08:00-21:00,sun
135108,00:00-23:30,mon;tue;wed;thu;fri
135108,00:00-23:30,sat
135108,00:00-23:30,sun
135107,07:00-23:30,mon;tue;wed;thu;fri
135107,07:00-23:30,sat
135107,07:00-23:30,sun
135106,18:00-23:30,mon;tue;wed;thu;fri
135106,18:00-23:30,sat
135106,18:00-21:00,sun
135105,00:00-23:30,mon;tue;wed;thu;fri
135105,20:30-23:30,sat
135105,00:00-23:30,sun
135104,00:00-23:30,mon;tue;wed;thu;fri
135104,00:00-23:30,sat
135104,00:00-23:30,sun
135103,12:00-22:00,mon;tue;wed;thu;fri
135103,12:00-23:00,sat
135103,12:00-22:00,sun
135102,09:00-23:00,mon;tue;wed;thu;fri
135102,09:00-01:00,sat
135102,09:00-22:00,sun
135101,13:00-08:00,mon;tue;wed;thu;fri
135101,13:00-08:00,sat
135101,13:00-08:00,sun
135100,14:00-23:30,mon;tue;wed;thu;fri
135100,14:00-23:30,sat
135100,14:00-23:30,sun
135099,13:00-23:00,mon;tue;wed;thu;fri
135099,13:00-00:00,sat
135099,13:00-22:00,sun
135098,13:00-23:30,mon;tue;wed;thu;fri
135098,13:00-00:30,sat
135098,13:00-01:00,sun
135097,10:00-23:30,mon;tue;wed;thu;fri
135097,10:00-23:30,sat
135097,11:00-23:30,sun
135094,11:00-23:30,mon;tue;wed;thu;fri
135094,11:00-23:30,sat
135094,11:00-22:00,sun
135093,12:00-22:00,mon;tue;wed;thu;fri
135093,12:00-22:00,sat
135093,12:00-22:00,sun
135092,09:00-17:00,mon;tue;wed;thu;fri
135092,09:00-13:00,sat
135092,00:00-23:30,sun
135091,11:00-21:00,mon;tue;wed;thu;fri
135091,11:00-21:00,sat
135091,11:00-21:00,sun
135090,07:00-00:00,mon;tue;wed;thu;fri
135090,07:00-00:00,sat
135090,07:00-00:00,sun
135089,13:00-20:00,mon;tue;wed;thu;fri
135089,13:00-20:00,sat
135089,13:00-20:00,sun
135088,09:00-16:00,mon;tue;wed;thu;fri
135088,00:00-00:00,sat
135088,00:00-00:00,sun
135086,08:00-23:00,mon;tue;wed;thu;fri
135086,08:00-23:00,sat
135086,08:00-23:00,sun
135085,00:00-00:00,mon;tue;wed;thu;fri
135085,00:00-00:00,sat
135085,00:00-00:00,sun
135084,11:00-23:00,mon;tue;wed;thu;fri
135084,11:00-23:00,sat
135084,11:00-23:00,sun
135082,10:00-18:00,mon;tue;wed;thu;fri
135082,10:00-18:00,sat
135082,10:00-18:00,sun
135081,14:00-23:30,mon;tue;wed;thu;fri
135081,14:00-23:30,sat
135081,14:00-23:30,sun
135080,14:00-23:30,mon;tue;wed;thu;fri
135080,14:00-23:30,sat
135080,14:00-23:30,sun
135079,13:00-22:30,mon;tue;wed;thu;fri
135079,13:30-22:30,sat
135079,13:30-22:30,sun
135078,14:00-20:00,mon;tue;wed;thu;fri
135078,14:00-20:00,sat
135078,14:00-20:00,sun
135077,06:00-18:00,mon;tue;wed;thu;fri
135077,00:00-00:00,sat
135077,00:00-23:30,sun
135076,12:00-23:30,mon;tue;wed;thu;fri
135076,12:00-23:30,sat
135076,12:00-23:30,sun
135075,00:00-23:30,mon;tue;wed;thu;fri
135075,00:00-23:30,sat
135075,00:00-23:30,sun
135074,07:00-23:30,mon;tue;wed;thu;fri
135074,07:00-23:30,sat
135074,07:00-23:30,sun
135073,09:30-23:30,mon;tue;wed;thu;fri
135073,09:30-23:30,sat
135073,00:00-00:00,sun
135072,13:00-23:00,mon;tue;wed;thu;fri
135072,13:00-23:30,sat
135072,13:00-22:00,sun
135071,13:00-23:30,mon;tue;wed;thu;fri
135071,13:00-23:30,sat
135071,13:00-20:00,sun
135070,07:00-23:00,mon;tue;wed;thu;fri
135070,07:00-23:00,sat
135070,07:00-23:00,sun
135069,09:00-23:30,mon;tue;wed;thu;fri
135069,09:00-23:30,sat
135069,09:00-23:30,sun
135068,12:00-23:30,mon;tue;wed;thu;fri
135068,12:00-23:30,sat
135068,00:00-00:00,sun
135067,12:00-23:00,mon;tue;wed;thu;fri
135067,12:00-23:00,sat
135067,12:00-23:00,sun
135066,07:00-23:00,sat
135066,07:00-23:00,mon;tue;wed;thu;fri
135066,07:00-23:00,sun
135065,14:00-23:30,mon;tue;wed;thu;fri
135065,14:00-23:30,sat
135065,14:00-18:00,sun
135064,07:00-22:30,mon;tue;wed;thu;fri
135064,07:00-22:30,sat
135064,07:00-22:30,sun
135063,08:30-19:30,mon;tue;wed;thu;fri
135063,08:30-19:30,sat
135063,09:00-15:00,sun
135062,00:00-23:30,mon;tue;wed;thu;fri
135062,00:00-23:30,sat
135062,00:00-23:30,sun
135061,07:00-23:00,mon;tue;wed;thu;fri
135061,07:00-23:00,sat
135061,07:00-23:00,sun
135060,11:30-19:00,mon;tue;wed;thu;fri
135060,11:30-19:00,sat
135060,11:30-19:00,sun
135059,12:00-23:30,mon;tue;wed;thu;fri
135059,12:00-23:30,sat
135059,12:00-23:30,sun
135058,13:00-23:00,mon;tue;wed;thu;fri
135058,13:00-23:00,sat
135058,13:00-23:00,sun
