placeID,userID,rating,alcohol,drink_level
135085,U1077,2,No_Alcohol_Served,social drinker
135038,U1077,2,No_Alcohol_Served,social drinker
132825,U1077,2,No_Alcohol_Served,social drinker
135060,U1077,1,No_Alcohol_Served,social drinker
135104,U1068,1,Full_Bar,casual drinker
132740,U1068,0,No_Alcohol_Served,casual drinker
132663,U1068,1,No_Alcohol_Served,casual drinker
132732,U1068,0,No_Alcohol_Served,casual drinker
132630,U1068,1,No_Alcohol_Served,casual drinker
132584,U1067,2,No_Alcohol_Served,abstemious
132733,U1067,1,No_Alcohol_Served,abstemious
132732,U1067,1,No_Alcohol_Served,abstemious
132630,U1067,1,No_Alcohol_Served,abstemious
135104,U1067,0,Full_Bar,abstemious
132560,U1067,1,No_Alcohol_Served,abstemious
132584,U1103,1,No_Alcohol_Served,abstemious
132732,U1103,0,No_Alcohol_Served,abstemious
132630,U1103,1,No_Alcohol_Served,abstemious
132613,U1103,2,No_Alcohol_Served,abstemious
132667,U1103,1,No_Alcohol_Served,abstemious
135104,U1103,1,Full_Bar,abstemious
132663,U1103,1,No_Alcohol_Served,abstemious
132733,U1103,2,No_Alcohol_Served,abstemious
132660,U1107,2,No_Alcohol_Served,abstemious
132584,U1107,2,No_Alcohol_Served,abstemious
132733,U1107,2,No_Alcohol_Served,abstemious
135088,U1044,2,No_Alcohol_Served,social drinker
132583,U1044,1,No_Alcohol_Served,social drinker
132608,U1070,2,No_Alcohol_Served,casual drinker
132609,U1070,1,No_Alcohol_Served,casual drinker
132613,U1070,1,No_Alcohol_Served,casual drinker
132663,U1031,0,No_Alcohol_Served,abstemious
132665,U1031,0,No_Alcohol_Served,abstemious
132668,U1031,0,No_Alcohol_Served,abstemious
132630,U1082,1,No_Alcohol_Served,abstemious
132715,U1023,0,No_Alcohol_Served,casual drinker
132717,U1023,0,No_Alcohol_Served,casual drinker
132613,U1082,0,No_Alcohol_Served,abstemious
132594,U1082,0,No_Alcohol_Served,abstemious
132608,U1082,0,No_Alcohol_Served,abstemious
132609,U1082,0,No_Alcohol_Served,abstemious
132663,U1082,0,No_Alcohol_Served,abstemious
132560,U1082,0,No_Alcohol_Served,abstemious
132564,U1060,2,No_Alcohol_Served,casual drinker
132717,U1060,2,No_Alcohol_Served,casual drinker
132733,U1060,2,No_Alcohol_Served,casual drinker
132740,U1060,1,No_Alcohol_Served,casual drinker
135071,U1015,0,Full_Bar,social drinker
132733,U1123,1,No_Alcohol_Served,abstemious
132608,U1123,1,No_Alcohol_Served,abstemious
135104,U1123,2,Full_Bar,abstemious
132584,U1123,1,No_Alcohol_Served,abstemious
132667,U1123,1,No_Alcohol_Served,abstemious
132740,U1123,1,No_Alcohol_Served,abstemious
132613,U1123,1,No_Alcohol_Served,abstemious
132594,U1123,1,No_Alcohol_Served,abstemious
132740,U1021,2,No_Alcohol_Served,social drinker
132626,U1026,2,No_Alcohol_Served,abstemious
132668,U1021,2,No_Alcohol_Served,social drinker
132715,U1021,2,No_Alcohol_Served,social drinker
