placeID,rating,food_rating,service_rating
132825,2,2,2
132825,2,2,2
132825,1,2,0
132825,1,0,1
132825,2,2,1
132825,2,2,2
132825,1,2,1
132825,2,2,2
132825,1,1,0
132825,2,2,2
132825,2,2,2
132825,2,2,2
132825,0,0,0
132825,1,2,1
132825,2,1,1
132825,1,1,0
132825,0,0,0
132825,0,0,0
132825,2,2,2
132825,2,2,2
132825,1,1,1
132825,2,2,1
132825,0,1,1
132825,1,1,0
132825,2,2,1
132825,0,0,0
132825,1,2,1
132825,1,1,0
132825,0,0,0
132825,2,1,1
132825,1,1,1
132825,2,2,0
132825,2,2,2
132825,2,2,2
132825,1,2,0
132825,1,0,1
132825,2,2,1
132825,2,2,2
132825,1,2,1
132825,2,2,2
132825,1,1,0
132825,2,2,2
132825,2,2,2
132825,2,2,2
132825,0,0,0
132825,1,2,1
132825,2,1,1
132825,1,1,0
132825,0,0,0
132825,0,0,0
132825,2,2,2
132825,2,2,2
132825,1,1,1
132825,2,2,1
132825,0,1,1
132825,1,1,0
132825,2,2,1
132825,0,0,0
132825,1,2,1
132825,1,1,0
132825,0,0,0
132825,2,1,1
132825,1,1,1
132825,2,2,0
132825,2,2,2
132825,2,2,2
132825,1,2,0
132825,1,0,1
132825,2,2,1
132825,2,2,2
132825,1,2,1
132825,2,2,2
132825,1,1,0
132825,2,2,2
132825,2,2,2
132825,2,2,2
132825,0,0,0
132825,1,2,1
132825,2,1,1
132825,1,1,0
132825,0,0,0
132825,0,0,0
132825,2,2,2
132825,2,2,2
132825,1,1,1
132825,2,2,1
132825,0,1,1
132825,1,1,0
132825,2,2,1
132825,0,0,0
132825,1,2,1
132825,1,1,0
132825,0,0,0
132825,2,1,1
132825,1,1,1
132825,2,2,0
135106,2,2,2
135106,2,2,2
135106,1,1,1
135106,2,2,2
135106,0,0,0
135106,2,2,2
135106,0,0,0
135106,0,0,0
135106,2,2,2
135106,1,1,1
135106,2,2,2
135106,2,2,2
135106,1,1,1
135106,2,2,2
135106,0,0,0
135106,2,2,2
135106,0,0,0
135106,0,0,0
135106,2,2,2
135106,1,1,1
135106,2,2,2
135106,2,2,2
135106,1,1,1
135106,2,2,2
135106,0,0,0
135106,2,2,2
135106,0,0,0
135106,0,0,0
135106,2,2,2
135106,1,1,1
135106,2,2,2
135106,2,2,2
135106,1,1,1
135106,2,2,2
135106,0,0,0
135106,2,2,2
135106,0,0,0
135106,0,0,0
135106,2,2,2
135106,1,1,1
135106,2,2,2
135106,2,2,2
135106,1,1,1
135106,2,2,2
135106,0,0,0
135106,2,2,2
135106,0,0,0
135106,0,0,0
135106,2,2,2
135106,1,1,1
135106,2,2,2
135106,2,2,2
135106,1,1,1
135106,2,2,2
135106,0,0,0
135106,2,2,2
135106,0,0,0
135106,0,0,0
135106,2,2,2
135106,1,1,1
135106,2,2,2
135106,2,2,2
135106,1,1,1
135106,2,2,2
135106,0,0,0
135106,2,2,2
135106,0,0,0
135106,0,0,0
135106,2,2,2
135106,1,1,1
135106,2,2,2
135106,2,2,2
135106,1,1,1
135106,2,2,2
135106,0,0,0
135106,2,2,2
135106,0,0,0
135106,0,0,0
135106,2,2,2
135106,1,1,1
135106,2,2,2
135106,2,2,2
135106,1,1,1
135106,2,2,2
135106,0,0,0
135106,2,2,2
135106,0,0,0
135106,0,0,0
135106,2,2,2
135106,1,1,1
132732,0,0,0
132732,1,2,2
132732,0,0,2
132732,0,0,0
132732,1,1,1
132732,0,1,1
132732,2,2,1
132732,1,1,1
132732,0,0,0
132732,1,2,2
132732,0,0,2
132732,0,0,0
132732,1,1,1
132732,0,1,1
132732,2,2,1
132732,1,1,1
132732,0,0,0
132732,1,2,2
132732,0,0,2
132732,0,0,0
132732,1,1,1
132732,0,1,1
132732,2,2,1
132732,1,1,1
135069,1,0,1
135069,0,0,1
135069,1,0,1
135069,1,2,2
135069,0,0,0
135069,1,1,1
135069,0,1,1
135069,0,1,0
135069,0,0,0
135069,1,0,1
135069,0,0,0
135069,1,1,1
135069,1,0,1
135069,0,0,1
135069,1,0,1
135069,1,2,2
135069,0,0,0
135069,1,1,1
135069,0,1,1
135069,0,1,0
135069,0,0,0
135069,1,0,1
135069,0,0,0
135069,1,1,1
135069,1,0,1
135069,0,0,1
135069,1,0,1
135069,1,2,2
135069,0,0,0
135069,1,1,1
135069,0,1,1
135069,0,1,0
135069,0,0,0
135069,1,0,1
135069,0,0,0
135069,1,1,1
135086,1,1,0
135086,1,1,1
135086,1,2,1
135086,0,0,0
135086,1,1,1
135086,0,0,0
135086,1,1,2
135086,0,0,0
135086,1,0,2
135086,2,0,1
135086,1,1,0
135086,1,1,1
135086,1,2,1
135086,0,0,0
135086,1,1,1
135086,0,0,0
135086,1,1,2
135086,0,0,0
135086,1,0,2
135086,2,0,1
135086,1,1,0
135086,1,1,1
135086,1,2,1
135086,0,0,0
135086,1,1,1
135086,0,0,0
135086,1,1,2
135086,0,0,0
135086,1,0,2
135086,2,0,1
135086,1,1,0
135086,1,1,1
135086,1,2,1
135086,0,0,0
135086,1,1,1
135086,0,0,0
135086,1,1,2
135086,0,0,0
135086,1,0,2
135086,2,0,1
135086,1,1,0
135086,1,1,1
135086,1,2,1
135086,0,0,0
135086,1,1,1
135086,0,0,0
135086,1,1,2
135086,0,0,0
135086,1,0,2
135086,2,0,1
135086,1,1,0
135086,1,1,1
