food_rating,rating,service_rating
0.875,0.625,1.0
1.7,1.6,1.4
1.34375,1.28125,0.9375
1.12,1.0,0.88
0.6,0.6,0.4
1.0,1.0,1.2
1.1111111111111112,1.3333333333333333,0.6666666666666666
1.0714285714285714,1.1785714285714286,1.0714285714285714
2.0,2.0,1.6
1.5,1.5,1.5
1.1666666666666667,1.25,0.9166666666666666
1.25,1.25,1.15
1.25,1.25,1.0
1.2727272727272727,1.2727272727272727,0.8181818181818182
1.3333333333333333,1.0,1.3333333333333333
0.6,1.0,1.0
1.16,1.28,1.16
1.0,1.125,0.75
0.9,1.0,1.0
1.7142857142857142,1.7142857142857142,1.7142857142857142
1.3333333333333333,1.2666666666666666,1.3333333333333333
1.0,1.1111111111111112,1.0
1.4444444444444444,1.6666666666666667,1.3333333333333333
1.0454545454545454,1.1363636363636365,1.2727272727272727
0.5,0.5,0.75
0.7777777777777778,1.0,0.7777777777777778
1.375,1.25,1.25
1.5,1.5,1.0
1.75,1.75,1.75
1.6923076923076923,1.6923076923076923,1.4615384615384615
1.1176470588235294,1.1764705882352942,0.9411764705882353
1.4722222222222223,1.3333333333333333,1.1666666666666667
0.6,0.8,0.8
1.2,1.2,1.2
